BankName,AccountNum,Balance,CreditLimit,CreditUsed,CardType
Capitol One,12375,3431.13,,,Debit
Capitol One,12376,4572.62,,,Debit
Capitol One,12377,6616.29,,,Debit
Capitol One,12378,6866.81,,,Debit
Capitol One,12379,6.45,,,Debit
Capitol One,12380,5021.75,,,Debit
Capitol One,12381,313.99,,,Debit
Capitol One,12382,4610.24,,,Debit
Capitol One,12383,1177.36,,,Debit
Capitol One,12384,5437.93,,,Debit
Chase,12345,12.95,,,Debit
Chase,12386,1071.82,,,Debit
Chase,12387,604.34,,,Debit
Chase,12388,3180.77,,,Debit
Chase,12389,9550.05,,,Debit
Chase,12390,2752.36,,,Debit
Chase,12391,476.56,,,Debit
Chase,12392,4125.28,,,Debit
Chase,12393,3304.17,,,Debit
Chase,12394,2533.5,,,Debit
AmericanExpress,340238028340283,,12000,8059.43,Credit
AmericanExpress,343424320984339,,17000,8567.39,Credit
AmericanExpress,343482034295006,,25000,8808.58,Credit
AmericanExpress,344932480293843,,10000,935.78,Credit
AmericanExpress,348398239429389,,40000,8889.37,Credit
AmericanExpress,349283409283049,,5000,4508,Credit
AmericanExpress,372938092803983,,4000,2627.84,Credit
AmericanExpress,374392094203944,,8000,4314.34,Credit
AmericanExpress,374839820938083,,7000,409.48,Credit
AmericanExpress,374839840938208,,30000,20096.29,Credit
Visa,4123287382738270,,5800,4088.03,Credit
Visa,4193839489384930,,3800,125.04,Credit
Visa,4198293829392980,,1800,717.64,Credit
Visa,4323423434342340,,8800,6378.98,Credit
Visa,4348932049384380,,2800,369.22,Credit
Visa,4349839489389480,,4800,486.32,Credit
Visa,4374837847837480,,3800,3700,Credit
Visa,4389483949384980,,2800,2014.4,Credit
Visa,4534837847387430,,7800,2784.23,Credit
Visa,4595895049543230,,1800,1551.53,Credit
Bank of America,12345,5954.25,,,Debit
Bank of America,12356,5.01,,,Debit
Bank of America,12357,7944.42,,,Debit
Bank of America,12358,3703.33,,,Debit
Bank of America,12359,25.47,,,Debit
Bank of America,12360,6188.72,,,Debit
Bank of America,12361,2028.09,,,Debit
Bank of America,12362,93.1,,,Debit
Bank of America,12363,9853.42,,,Debit
Bank of America,12364,6842.91,,,Debit
